image_url,caption
input_files/Brompton_C_Line_amethyst.jpg,"Brompton C Line, amethyst color"
input_files/Brompton_Electric_C_Line_dune.jpg,"Brompton Electric C Line, dune color"
input_files/Brompton_G_Line_black.jpg,"Brompton G Line, black color"
input_files/Brompton_G_Line_green.jpg,"Brompton G Line, green color"
input_files/Brompton_G_Line_white.jpg,"Brompton G Line, white color"
input_files/Brompton_P_Line_bronze.jpg,"Brompton P Line, bronze color"
input_files/Brompton_P_Line_blue.jpg,"Brompton P Line, blue color"
input_files/Tern-Link_B8-tangerine.jpg,"Tern Link B8, tangerine color"
input_files/Tern-Link_B8-ivory.jpg,"Tern Link B8, ivory color"
input_files/Tern-Link_D7i-peacock.jpg,"Tern Link D7i, peacock color"
input_files/Tern-Verge-D9-black.jpg,"Tern Verge D9, black color"
input_files/Tern-Vektron_P10-light_blue.jpg,"Tern Vektron P10, light blue color"
input_files/DAHON_Mariner_D8_brushed.jpg,"DAHON Mariner D8, brushed color"
input_files/DAHON_Mu_D9_green.jpg,"DAHON Mu D9, green color"
input_files/BTWIN_EFold_900.jpg,"BTWIN Efold 900, blue color"
input_files/BTWIN_Folding_Bike_Tilt_120.jpg,"BTWIN Tilt 120"